post,aspect,polarity
পীরে কামেল গাল ফোলা কামাল জিন্দাবাদ...,other,negative
পাকিস্তানের এর চেয়ে ভারত বেশি শক্তিশালী...,other,neutral
আবেগ দিয়া এত বড় টিম চলে কি?,sports,neutral
বেশি খুদা লাগলে যা হয়।,other,negative
দেশের কিছু ফাজিল অনলাইন পত্রিকা বন্ধকরা দরকার,other,negative
যে সমস্ত দেশ গুলো সৌদি আরবের আগে চাঁদ দেখেছে তারা কি করবে,religion,neutral
মীর জাফর আসতেছে,other,negative
পরিকল্পিত ভোট ডাকাতির সংঘবদ্ধ চক্র এরা।,politics,negative
বাকশালিদের দেশত্যাগে বাধ্য করা হউক,politics,negative
অহংকার পতনের মুল,other,negative
রোনালদোর ক্ষেত্রে তবে মহা অবিচার,sports,negative
"দেশকি ওর বাপের একলা নি,,,",other,negative
"আর যে ধৈয ধরে রাখতে পারছি না ভাই,আপনি কবে খেলবেন আবার",sports,negative
আল্লাহ্ তুমি এই গরিবদের রহম কর আমিন ।,religion,positive
ইসলাম নিজেই বিজ্ঞান।,religion,positive
এবার সেই ররাস্তা দিয়া একটা বাঁশ দেন।,other,negative
আর এইটা মিলবে আশা করাটা বোকামি,other,negative
"বার্সা এতো খারাপ দল কবে হলো,হার জিত নিয়ে কথা উঠে,এরা সব কি তাহলে হাইব্রিড বার্সা সমর্থক?",sports,negative
এখানে সরকার বাস সরবরাহ করবে আর অন্য দলের সময় হরতাল করে।,politics,negative
পঞ্চগড়ের মাটি বি এন পির ঘাটি,politics,positive
তাহলে সাবেক প্রধান বিচারপতির অবস্থা হতো তার।,politics,neutral
"দাদা ওটা ফুটবল, আপনার বল নয় যে আপনার কথা মতো চলবে!!",sports,neutral
শেখ হাসিনার চামড়া দিয়ে ঢুগ ঢুগি বানানো যায় কি ভাবে সে যুক্তি করতেছে,politics,negative
এগিয়ে যাও আমরা আছি তোমাদের সাথে,other,positive
তোমাদের মত নেতাদের কপালে কি অাছে অাল্লাহ ভাল জানেন।,other,negative
জুতা মারা উচিত এর মুখে।,other,negative
অামিও বুদ্ধি হওয়ার পর থেকে অাজ অবধি একটা রোজাও রাখিনি।,religion,negative
অারে ভাই বর বর মাওলানা মুফতি কোরান হাদিস অনুযাই বলছে ২০ রাকাত,religion,neutral
"দিয়ে দিন,এত বড় দেশ চালাতে ঝামেলা",other,negative
সত্তি দেশ ডিজিটাল হইছে,other,positive
আপনি পচে এখন শুধু গন্ধ ছড়াবেন,other,negative
ডঃকামাল ওরপে ভিরু কামাল,politics,negative
এইবার আমি এমপি হবো।,politics,neutral
এতোগুলো আলেম হত্যা তার তো সুস্থ থাকার কথা নয়,other,negative
দেশে পাগলের সংখ্যা বাড়ছে,other,negative
আমার নছিবে যদি থাকে সরাসরি আপনাকে দেখে হাতটা মিলিয়ে কোলাকুলি করতাম।,religion,positive
ইনশআল্লাহ বের হয়ে আসবে।,religion,positive
আবার ও ধরা ঐক্যফ্রন্ট।।,politics,negative
বিশ্ব কবি আল্লামা ইকবাল যেন দ্বিতীয় কবি নজরুল,other,neutral
আমি মন থেকে চাই শাকিব আল হাসান আর বাংলাদেশের ক্রিকেট না খেলো।,sports,negative
কিছু বলার মতো মানসিকতা নাই।,other,negative
ঈমান রাখতেই হবে।,religion,positive
এই সব লোক মারা গেলেই ভালো হয়,other,negative
শালা একটা দালাল।,other,negative
সুরঞ্জিত সেনগুপ্ত সংবিধান প্রণেতা,politics,neutral
সোদী আরব হলো ইহহদীী তারামুসলিমদের ডুকতে দিও বে না,religion,negative
যত তাড়াতাড়ি নৌকা গাং পার করে নিতে পারে তত মঙ্গল।,other,neutral
দেশের সংবিধান হওয়ার কথা জনগণের স্বার্থ রক্ষার্থে আর আপনারা করেছেন নিজেদের ক্ষমতা রক্ষার্থে,politics,negative
শুরু হয়ে গেছে বিএনপি-জামাতের সন্ত্রাসী কর্মকান্ড।,politics,negative
তাহলে বিএনপি ধীরে ধীরে বিলুপ্ত হয়ে যাবে মনে হয় !!!,politics,negative
বাংলাদেশের পুরো সিরিজের মধ্য ওডিআই দেখার জন্য অধীর আগ্রহ নিয়ে অপেক্ষা করতাম।,sports,positive
হুম অামি শুনলাম উনি নাকি খেলায় ট্রেনিং গ্রাউন্ডে ই ঘুমায়।,sports,neutral
ইমাম ইবনুল কাইয়ুম রাহিমাহুল্লাহর রাসূল সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের চিকিৎসা নামক বইয়ে পড়লাম এটা রাসূলের একটি সুন্নাহ।,religion,positive
মুখপাত্র নয় দালাল।,other,negative
আমাদের ঈমান এত দূর্বল যে নিজেদের মতামত প্রকাশ করবো সে সৎ সাহস টুকু নেই,religion,negative
হেতেনেও দেখি হুমকি মারে,other,negative
এর কারণ বর্তমান মুসলিম বিশ্বের যেকোনো সমস্যা এখন মালয়েশিয়া ও ইন্দোনেশিয়া এখন সর্বাত্মক ভূমিকা পালন করছে,religion,neutral
ইমামের পিছে সুরা ফাতেহা পড়ব কি পড়ব না ? আল্লাহ বলেছেন,religion,positive
কিছু হবে না ইনশঅাল্লাহ চিন্তা করবেন না,religion,positive
"ভাল হলো, আগামীকাল তফসিল ঘোষণা হচ্ছে তো।",other,positive
বায়ার্ন কে হারাবেই!,sports,positive
অাল্লাহর গজব নাজিল হইবে তোর উপর,religion,negative
ডা কামাল সুবিধা বাদী লোক।,politics,negative
আমরা ইসলামের খলিফাকে হারিয়েছি।।,religion,negative
আল্লাহ ওনার নেক হায়াত বাড়িয়ে দিন।,religion,positive
নাস্তিক মানেই বিনোদন,religion,negative
বাংলাদেশর কিছু আলেম আছে তাদের কাছে এই প্রশ্নের উত্তর জানতে চাইলে দিতে পারবে না,religion,negative
দুই বাসের সংঘর্ষে জিম্বাবুয়েতে নিহত ৪৭,other,negative
আহালে হবিচ মানে জারজ জারজ জারজ তুরা সব তাই,religion,negative
নাস্তিকতা মানেই চরম বিনোদন‍।,religion,negative
আসাৱ দৱকাৱ নাই।।,other,negative
আপনিত বিকল্পের উপরেই আছেন,other,neutral
"২৪ বলে প্রয়োজন ছিল ৩৫ রান, হাতে ৭ উইকেটে শতরানের জুটি গড়া সেট দুই ব্যাটসম্যান, সেই মুহূর্তে বোলিংয়ে এসে ওভারে ২ রান।",sports,neutral
পাকিস্তানের মতো সালাদের (ভারতের)পাছা দিয়ে দেবে বাংলাদেশের জনগন।,other,negative
তোগো পিটের উপর দিবো সবায়,other,negative
আলহামদুলিল্লাহ শুকরিয়া,religion,positive
খুশির ঈদে যা খুশী করছে শান্তির ধর্মীর লোকজন,religion,positive
বাংলাদেশ দলের উপর ভরসা রাখি কেন জানেন??,sports,neutral
একেই বলে লেভেল প্লেয়িং ফিল্ড,other,neutral
এইটা নেইমার ফ্যান গ্রুপ,sports,neutral
সরকারের এত দালালি করেও শালার লাভ হলো না।।,politics,negative
সরকারি চাকরিতে প্রবেশের বয়স ৩৫ দাবিতে বিক্ষোভ,politics,negative
এরা ভন্ড প্রতারক,other,negative
বিকল্প পদ্ধতি নেয়ার জন্যি তো বিকল্প দ্বারা,other,neutral
আপনার এবং বাংলাদেশ দলের জন্য অনেক অনেক শুভ কামনা মাশরাফি ভাইয়া বস নাম্বার ১ লাভ ইউ ভাই বস,sports,positive
তু‌মি দলটার জ‌ন্যে কতটা অনু‌প্রেরণা তা আবার প্রমা‌ণিত•,sports,neutral
পুলিশ আওয়ামী লীগের একমাত্র ভরসা।,politics,negative
আল্লাহ তুমি এই মানুষগুলিকে হেদায়াত দান কর।,religion,positive
"এবার আর কাদতে চাই না, শেষ হাসিটা আমরাই হাসতে চাই!",sports,positive
"এটা আর এক দূর্নীতি, দেশে রেলের দক্ষ কারিগর ও কারখানা থাকতে কেন বিদেশ থেকে কোচ কিনে আনা হয়",other,negative
"ঘরে ছেলের আত্মহত্যা, গাছে ঝুলল মা",other,negative
টানা তৃতীয়বারের মত জয় লাভ করায় আওয়ামীলীগকে অভিনন্দন,politics,positive
"অভিন্দন অার অনেক অনেক ভালো বাসা রইলো,,,,মাশরাফি।",sports,positive
খাম্বার জায়গা হবেনা লেংটা কামাল,politics,negative
"দলগতো ভাবে খেল্লে সাফল্য আসবেই, শুভ কামনা রইলো দলের প্রতি",sports,positive
মাশাআল্লাহ আলহামদুলিল্লাহ,religion,positive
চটি ইমাম ইসির মুখপাত্র হলো কবে থেকে?,politics,negative
সুন্দর ওয়াজ ভাই,religion,positive
তত্ত্বাবধায়ক সরকারের সময় খালেদা জিয়ার বিরুদ্ধে ৬টা মামলা ছিল,politics,negative
ভারতীয় ক্রিকেটাররা মাঠের বাইরে বাড়তি সুবিধা চায়,sports,neutral
হযরত আশা কর ভাল আছেন আমি হেফেজ এখন কলেজে পরছি,religion,positive
সাকিবকে অনেকের পছন্দ না তার উল্টাপাল্টা ব্যবহারের কারণে,sports,negative
আমি কখনো শুনিনি হাফিজ ওমর (রঃ) খারাপ হুজুর,religion,positive
পলানোর পথ পাবি না,other,negative
আল্লায় আমারে কাফেরের ঘরে পাঠাইছে।,religion,negative
কোথা কার নুরুল হুদা বেহুদা,politics,negative
"ভালোবাসার আরেক নাম বস ম্যাশ, তোমার জন্য আমার ক্রিকেট এতো ভাল লাগে",sports,positive
প্রধানমন্ত্রী বলেছেন- আর কোন গ্রেফতার হবেনা।,politics,positive
"আমি আশাবাদীর দলে, কারণ নামটি যে সাকিব আল হাসান।",sports,positive
শেষ পর্যন্ত মানুষ হতে পারলেনা আওয়ামী লীগ হয়ে রইলো সে।,politics,negative
আরে দাদা আপনার বাংলাদেশ এ হিন্দু খুন হচ্ছে এইটা নিয়ে কিছু বলেন.,religion,negative
"নেতৃত্বগুণ সবার থাকে না,,,,আগের সিরিজ,টেস্ট সিরিজ আর কালকের খেলায় মধ্যেই সেই পার্থক্য খুঁজে পাওয়া যায়,,",sports,positive
"ইনশাআল্লাহ তাই যেনো হয়, মাহমুদউল্লাহ ভাইয়ের ক্যাপ্টেন্সি দেখার খুব ইচ্ছা।",sports,positive
মোবাইলে প্রতারণা করে টাকা কামাচ্ছে,other,negative
তাহলে লাইনে আইছেন,other,neutral
"সাঈদী সাহেব বলেছেন,ভারতের কলিজা পুঁটি মাছের চেয়ে ছোট",other,negative
তোর মার হেডায় আগুন লেগেছে অপেক্ষা কর,other,negative
দেশে একটি অবাধ নির্বাচন চাই,politics,positive
"মুক্তি মুক্তি মুক্তি চাই, আপসহীন দেশনেত্রী বেগম খালেদা জিয়া র মুক্তি চাই,,,,",politics,positive
"হতাশা হওয়ার কিছু না , কারণ বার্সেলোনা টিমে বিশ্বের সেরা খেলোয়াড় আছে।",sports,positive
দেশটা কি ওনার,other,negative
সাকিব হারেনি হেরেছে বাংলাদেশ,sports,negative
"ভাসন তো গনভবনে রেডি আছে ,কুকুরে পড়ে শুনাবে ।",politics,negative
তাই জনগণ এদের থেকে মুক্তি চাই,politics,negative
"রাস্তায় সমাধান করতে হবে, সংলাপে সমাধান আসবে না",politics,negative
দেশের জনগন কোন রাজার প্রজা নয়।,politics,positive
হাসিনার অধিনে নির্বাচন মানিনা,politics,negative
মাদ্রিদের খেলায় যদি পেরেজ অর্থ দান করে,sports,positive
ড.কামাল নয় বুঝলাম তাহলে কি তোর বাপ সংবিধান প্রণেতা,politics,negative
মাজার বা হাঁটুর ব্যথার ও দুর্বলতার কারণে কি চেয়ারে বসে নামাজ পড়া যাবে?,religion,neutral
আর আসবেও না,other,negative
মাশাআল্লাহ অনেক সুন্দর লেকচার,religion,positive
"জাতির উদ্দেশ্যে ভাষন জাতির জানতে চায় তোর একার দেশ না জাতির দেশ,,,",politics,negative
পরকালে তোদের বিচার হবে ৷,other,negative
আন্দলনের বিকল্প নাই,other,negative
সামনে কোন ঈদ অাছে কি ত্রকটু জানাবেন,religion,neutral
ভাব বেশি ভালনা,other,negative
"জামাতে ইসলাম, জিন্দাবাদ",politics,positive
এরা মহাউন্মাদের সত্যিকারের উম্মত,religion,negative
"নতুন মুসলমান হইচে মনে হয়, এত উত্তেজিত হবার কি আছে !!",religion,negative
"ঐক্যফ্রন্ট এর নেতাদের পকেট খালি,তাই এদের মাথা ঠিক নেই,",politics,negative
সংলাপ সফল হক।,politics,positive
তাসকিনের ভাগ্য ভাল বলতে হবে,other,neutral
"পাকিস্তানিরা একটি কথা বলেছিল , মালাউন কা বাচ্চা কাভি নেহি আচ্ছা",other,negative
তোরমতো বালের কথা শোনার টাইম নাই,other,negative
অর্থমন্তিকে পাগলা গারদে পাঠানো উচিত,politics,negative
আমি তাকে বার্সায় দেখতে চাইনা,sports,negative
সালামুআলাইকুম আমি একটা প্রশ্ন করতে চাই,religion,positive
তারাতারি করেন হিন্দুদের গর্বিত শব্দ টি যেন গর্তে পরিনত হয় ভাইয়া।,religion,negative
"এর আগে বার্সা এতো ভালো খেলেও চ্যাম্পিয়ন লিগের সেমি থেকে বাদ গেছে শুধু মাত্র এই দূ্র্বল ডিফেন্সের জন্য,আর বর্তামানে বার্সার ডিফেন্সের অবস্থা আরো নাজেহাল।",sports,negative
হুম জনগন কর দিবে আর শালার পুত তোরা রাষ্ট্রীয়কোষাগার খালি করবি,politics,negative
হাসিনার পা চাটা গোলামের মুখে এই কথা কেন?,politics,negative
"কাকু, তোমার কথা কে শোনে?",other,neutral
ভালবাসার আরেক নাম  মাশরাফি,sports,positive
এসএসসিতে বাড়তি ‘ফি’ বন্ধে সরকারের হস্তক্ষেপ চায় দুদক,other,positive
গৃহ পালিত কুকুর থেকে মালিকতো এটাই পাবে।,other,negative
পুলিশ বলেন কেনো বলেন পুলিশলীগ,politics,neutral
হে মহান আল্লাহ পাক আপনি আমার বার্মাবাসী মুসলিম মা,religion,positive
নৌকা ডুবে গেছে,politics,negative
আসসালামু আলাইকুম শায়েখ,religion,positive
আল্লাহ পাকের খেলা বুঝা বড় মশকিল! কখন যে কার দ্বারা ইসলাম কে রক্ষা করেন সুবহানাল্লাহ! ডাক্তার,religion,positive
সাংসারিক জীবনে আপনার পরিবারের সব ভাই যদি আপনার বাবা-মার কোন উপকার না করে,religion,negative
বাইকার গ্যাংস্টার গ্রুপের ৮ কিশোর গ্রেফতার,other,negative
"বদ কাকুর খায়েশ, ছেলেকে এমপি বানিয়ে দিন।।",politics,neutral
আমি অনেক বেশি জানি,religion,positive
সকাল থেকেই মেঘলা আকাশ।,other,neutral
বাকশাল আসছে দেশে,politics,negative
ভারতের মন্ত্রী দের কে এত সাহস কারা দিল।,politics,negative
বোর্ডের উদাসীনতায় বাংলাদেশ তথা ক্রিকেট বিশ্ব আশরাফুল কে হারিয়েছে।,sports,negative
ক্রিকেট একাডেমী কি চালু হইছে?,sports,neutral
কারণ তারা আওয়ামীলীগের নোংরা ফাঁদে পা দিচ্ছে না,politics,negative
আগে উনারা যেই গাড়ি গুলা আমদানি করছে ভ্যাট ছাড়া তার ৩০০% ভ্যাট পরিসদ করুক পরে আমরা,other,negative
আলোচিত র্নবাচন কমিশন একটি আলোচিত র্নিবাচন ছাড়া আর কিছুই দিতেই পারবে না।,politics,negative
আপনি সঠিকভাবে আল্লাহর এবং রাসুলুল্লাহ (সাঃ) প্রকাশ করেন,religion,positive
চরিত্রহীনরাই ধর্মের ব্যবহার বেশি করে।,religion,negative
ডেম্বেলে খেলতে পারবে বলে ত মনে হয় নাহ,sports,neutral
ইনশাআল্লাহ্‌ মুসলমানদের বিজয় হবে।,religion,positive
আফিফাকে যেই পরিমাণে নির্যাতন করা হয়েছে সেটা লেখার ভাষা নেই,other,negative
সুন্নাত নামাজ না পড়লে গুনা হবে নি জনাব,religion,negative
একে বয়কট করুন,other,negative
সাব্বিরের জায়গায় অপুকে নেয়া যায়.,sports,neutral
আনেক কষ্টের বিনিময় জিম্বাবুয়ের সাথে সিরিজ জিতি গেছি,sports,positive
আসসালামু আলাইকুম ভাইজান,religion,positive
পাগলের শ্রেষ্ঠ উক্তি।,other,negative
পুরাই ফালতু নিউজ,other,negative
নামিদামি আলেমদের হত্যা করা হয়েছে তাদের জন্য কি মিলাদ পড়েছেন।,other,negative
হাসান মাহমুদের কথা কোন ক্রমেই গ্রহণযোগ্য নয়।,other,negative
ভুয়া মিডিয়া জারজ,other,negative
"একজন চরিত্রহীন মহিলাকে ""চরিত্রহীন"" বলায় একজন মুক্তিযোদ্ধা আজ জেলে",other,negative
যতই চাপাচাপি কোনো লাভ নাই,other,negative
বায়ার্ন কে খেয়ে ছেড়ে দেয়া হবে ইনশাল্লাহ...,sports,positive
মুসলমানের জয় নিশচ্চিত,religion,positive
এই লোকটা নিজেই নিজেকে পাতরা বানাচ্ছে.....,other,negative
"ওরা মানবে কোন দূঃখে, কোন পাগল ও নিজের পায়ে কুডাল মারতে চাই না!!!?",other,negative
তুমি নাচ গান দেখ,other,neutral
ইনশাআল্লাহ ঐক্যফ্রন্ট সফল হবে ।,politics,positive
তুই কুত্তা পাগল।,other,negative
স্বাধীনতার মহান স্থপতি জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের ঘনিষ্ঠ সহচরও মুক্তিযুদ্ধের সংগঠক জাতীয় চার নেতার প্রতি গভীর শ্রদ্ধাঞ্জলি।,politics,positive
কইলো কারে আর লাগে কার,other,neutral
আপনি তো গৃহপালিত প্রাণী,other,negative
পুলিশ হল সরকারী লোক,other,neutral
ইসলামে গনিমতের মাল কি হালাল?,religion,neutral
"""এরশাদ কাকু আর রওশন কাকিরে ভোটের আগে বড় আপা ভালোই থেরাপি দিতাছে তাহলে?",politics,negative
"নিউজিল্যান্ডে এখন ড: জাকির নায়েক স্যার, একেই বলে দাঈ আলহামদুলিল্লাহ",religion,positive
হাসিনার পতন চাই,politics,negative
আমরা খালি মাঠে গোল দেব না,religion,positive
তার পরেও বলবেন বিচার বিভাগ স্বাধীন???,other,neutral
বস ইজ অলওয়েজ বস,sports,positive
এই শালা এক নাম্বার পাগল,other,negative
ভারতের সেই সাহস নেই পাকিস্তানে হামলা করার,politics,negative
এখন আমজনতার কথাই শেষ কথা,other,neutral
পাকিস্তান ইনশা-আল্লাহ....,other,positive
মহান সৃষ্টিকর্তা আফিফাকে হেফাজত করুক।,religion,positive
১৯৭৫ সালের ১৫ আগস্ট বাংলাদেশের প্রতিষ্ঠাতা রাষ্ট্রপতি শেখ মুজিবুর রহমানকে সপরিবারে হত্যা করা হয়।,politics,negative
সুশাসন ছাড়া অর্থনৈতিক স্থিতিশীলতা আসবে না,politics,positive
দোয়া করি আল্লাহ তাকে জান্নাত দান করুক,religion,positive
"দারুন খবর দেখি হয়,",other,positive
সাভারে দখলদার ও গণস্বাস্থ্যের কর্মীদের সংঘর্ষে আহত ৩০,other,negative
আজ বিএনপি সরকার হলে এই আদালত থেকে তারেক জিয়া বেকসুর খালাস পেতো।,politics,neutral
আপনি চাড়াল কাউয়া।,politics,negative
আমরা জিতে গেছি,sports,positive
এক বছরে চার ইঞ্চি দেবে গেছে বেইজিং,other,neutral
দেশের মালিক জনগন,politics,positive
আর সেই চারবারই পাকিস্তান হেরে ভূত হয়েছে,sports,negative
আল্লাহ সব প্রভাবক সম্পর্কে জানেন যার ফলে আমি আন্যয় করব,religion,positive
আমিও জানতাম না কাতারে আসার পরে জানলাম ।,religion,negative
কাদের ভাই অনেক বেয়াদপ সবাই জানি এবং কম বেশি সকলেই জানেন,politics,negative
টিকিট কেটে থিয়েটারে যেতে হবে না।,other,negative
এসব পুরাতন সহযোগী,other,neutral
খালেদা জিয়াকে ছাড়া এই দেশে কোন র্নিবাচন হতে পারে না।,politics,negative
"মাল কাকা,,আওয়ামীলীগের বদনামের বহুলাংশে দ্বায়ী তোমার মুখ",politics,negative
তোর বাপ মানবে,other,negative
আল্লাহ আমাদের আমল করার তাও পিক দিক আমিন,religion,positive
এক এক করে বঙ্গবন্ধুর কাছের মানুষ ও মুক্তিযোদ্ধারা সব ঐক্যফ্রন্টে যোগ দিচ্ছে,politics,neutral
"ক্ষমতা থাকলে বস্ আপনার নামে ষ্টেডিয়াম করে দিতাম,",sports,neutral
মাহি বি তো দেখা যাচ্ছে না?,other,negative
ফকিরের বচছারা পিলেট নিশ বাংলাদেশের সাথে,other,negative
এই বেহায়া এদমিন এর লজ্জা নেই মেসির গুনিয়ে পড়ে আছে সারাদিন,sports,negative
আলহামদুলিল্লাহ্‌ শুনে ভাল লাগলো,religion,positive
ধর্মান্ধতা সে জাতিই যেতে পারে,religion,negative
কেউ আমার পাছায় লাথি দে ।,other,neutral
আমিও সেনসাস ফর্মে মানবতা লিখি লিজের ধর্মে।,religion,neutral
আমরা আর কোন ক্রিকেট নক্ষত্রের পতন চাই না।,sports,positive
নির্বাচন সুষ্ঠ হবে।,politics,positive
ভারতী ও সৈনিক রা পাকিস্তান এর বডার এ গিয়ে মুতে দিলে পাকিস্তান ডুুবে যাবে রে,politics,negative
দায়িত্ব নেয়ার পর প্রথমবারের মতো দেশ সফর করছেন সৌদি বাদশাহ সালমান বিন আবদুল আজিজ।,politics,neutral
আহলে হাদীস মানে হচ্ছে আহলে মনগড়া,religion,negative
"আবালদের উৎপত্তি যেখান থেকে,  আর্জেন্টিনা - আ  বার্সেলোনা - বা লিওনেল মেসি -ল  =আবাল",sports,negative
ঢাকা-বরিশাল নৌপথ অত্যাধুনিক সুবিধা নিয়ে আসছে সুন্দরবন,other,positive
ইসির বৈঠক চলছে,politics,neutral
আমরা কেন আল্লার কাজে নিজেকে শরীক করে শিরিকি গোনাহে লিপ্ত হব ?,religion,negative
"বি,চোধুরী এখনো হাসিনা কে চিনলো না।",politics,negative
উনার কারনে আমরা ইসলাম সম্পর্কে আরো ভালোভাবে জানতে পারছি।,religion,positive
"বায়ার্নকে হারাতে পারলে ,মেসি ব্যালন জিতার জন্য অনেকটা এগিয়ে যাবে",sports,positive
গণতন্ত্রের মুক্তি দিবে কে?,politics,neutral
মহিলার গায়ে গরম পানি ঢালা উচিত,other,negative
এতিমের টাকা মেরে খায় খালেদা র মুক্তি নাই,politics,negative
তুরস্ক যুক্তরাষ্ট্রের নিষেধাজ্ঞা মানবে না,politics,negative
ফলপ্রসূ হলে হাসিনাই হিরোইন ।,politics,positive
আল্লাহ আমাদেরকে পরনারীর সাথে রাত কাটানোর জন্যে সৃষ্টি করেনি...!,religion,positive
যোহরের আগে যেই ৪ রাকাত সুন্নাত নামায এটা না,religion,negative
এটা কোন দেশরে বাপ?,politics,negative
উনি কিন্তু জাল হাদিসও বর্ণনা করে সাবধান।,religion,negative
বেপার না গ্রেফতার ও রাজনিতির অংশ।,politics,negative
ঠিকই আছে আওয়ামীলিগ ক্ষমতায় থাকতে বিরোধি দলের নাম কোথাও থাকবেনা,politics,negative
এরা দুজন সফল রাজনীতি করতে পেরেছে,politics,positive
আমার মতে এখানে সাকিব যা করেছে তা গর্বের বিষয় কেন না সে যদি আজ ফিক্সিং এ ঝড়াতো তা হলে দেশের ক্রিকেট ভক্তরা অনেক কষ্ট পেত,sports,negative
"কিছু চরিত্রহীন লম্পট আওয়ামী লীগে রাজনীতির ছাতা তলে এসে অকাম,কুকাম ও মেয়েদের উংতক্ত করে বেরাচ্ছে",politics,negative
এরশাদের চেয়েও অধমে পরিণত,politics,negative
স্বাধীনতা পরবর্তি কর্মকান্ডের কারনে জিয়া স্বাধীনতা পুরস্কার পাবার অযোগ্য,politics,negative
কুরআনে যা কিছু আছে সব বিশশাস করি তা বিগগান প্রমাণ করতে না পারলেও,religion,negative
তাহলে কি বিদায় ঘণ্টা বাজছে?,other,negative
অ‌নেক অ‌নেক শুভ কামনা সফলতা আসুক ম্যাশ তোম‌ার হাত ধ‌রে ৷,sports,positive
খালেদাজিয়া মুক্তি নাই,politics,negative
আল্লাহ্‌ সহায় হোন,religion,neutral
দেশের দিকে তাকান,other,positive
বি এন পি নিপাত যাক!,politics,negative
"ওয়ান ম্যান,ওয়ান ভোট তাদের জোট",politics,negative
কুরআনতো শবে কদরের রাতে নাযিল হয়েছে,religion,neutral
এটা হতে পারে না।,other,negative
আল্লাহ হেপাজত করুন,religion,positive
এখন এইটা খুব বার্সা রিলেটেড পোস্ট খুব উপকার হইলো,sports,positive
বার্ষিক পরীক্ষা এগোচ্ছে পেছাচ্ছে ভর্তি পরীক্ষা,other,neutral
সঠিক সিদ্ধান্ত হয়েছে,other,positive
মহান আল্লাহ্ যেন তাকে মাফ করে দেন এবং জান্নাত নসীব করেন। -আল্লাহুম্মা আমীন,religion,positive
আহারে বেচারার ১৫০ আসন জলে গেল ।,other,negative
আল্লাহ সবাইকে হেফাজত করুন,religion,positive
"এরশাদ যদি চুদুর ভুদুর করে উনাকে পাগলাগারদে পাঠাতে হবে, সম্ভবত এই বিষয় আলোচনা হয়েছে |",politics,negative
মোটেও লাভ নাই।,other,negative
আওয়ামী লীগের পা চাটা গোলাম তোরা,politics,negative
আইন করতে না করতেই শয়তান পালাতে শুরু করেছে,religion,negative
হাসিনার কোন বিকল্প নাই,politics,negative
ক্বওমীর জননী শেখ হাসিনা,religion,positive
প্রতারনায় অংশ নেওয়া ঠিক না।,other,positive
তুই একটা শয়তান,other,negative
দুনিয়ার সেরা কুত্তার বাচ্চা,other,negative
জাতি আজ মুক্তি চাই,politics,positive
যৌথসভায় বিএনপির ৭ দিনের কর্মসূচি ঘোষণা,politics,neutral
ওয়েলডান শাহজাহান খান,politics,positive
শুয়োরের বাচ্চারাএভাবেই ইসলামের নাম বেইচা নিজেদের ফায়দা লুটে!!,religion,negative
এরশাদ একটা জারজ তাই নাম জাতিয় পাঠা,politics,negative
এবার নির্দ্বিধায় হ্যাঁ!,other,positive
হাসিনা মার্কা নির্বাচন আমরা চায় না,politics,negative
হাসিনার নির্দেশনা মেনে এগিয়ে যাবে মহান এরশাদ!,politics,neutral
টেকনোক্র্যাট ৪ মন্ত্রীকে দায়িত্ব চালিয়ে যাওয়ার নির্দেশ,politics,neutral
জাতির সামনে ভুলেও দিসনা,politics,negative
আরবি আলেম শব্দটির বংলা অর্থ জ্ঞাণী,religion,neutral
ভাই ফেতরা মিসকিনের প্রাপ্য !,religion,positive
আপনি এগিয়ে যান,other,positive
সেই কোরামিন ক্যাপসুটা হচ্ছে মাশরাফি বিন মূর্তজা।,sports,neutral
রামাদান বিষয়ক কিছু গুরুত্তপূর্ন হাদিস,religion,positive
শালা হাসিনার পা চাটা কুত্তা,politics,negative
পুলিশ কুত্তাগুলো হাচিনার গুলামি করতে করতে ভুলে গেছে তারা আমাদের দেড় টাকার চাকর,other,negative
আল্লাহ তাকে বেহেশত নসিব করুন,religion,positive
হাত পাখার বিকল্প নেই,other,negative
টঙ্গীর জোড়া খুন: মূল পরিকল্পনাকারীসহ গ্রেফতার ৫,other,negative
জনাব কাদের সিদ্দিকী সাহেবের যাওয়া উচিত ছিল।,politics,neutral
আমার মনে হচ্ছে বাংলা একটা ধর্মীয় উস্কানি ছড়ানোর প্রচেষ্টা করছে।,religion,negative
কুরআন যা বলেছে তাই সত্য।,religion,positive
আমার জীবনে শুনা সেরা ওয়াজ,religion,positive
ইফতারি সামনে নিয়ে খালেদা জিয়া মিথ্যাচার করছেন',politics,negative
ইনশাআল্লাহ আমরা জনগণ ক্রিকেট প্রেমীদের ভালবাসার মানুষ সাকিবের জন্য দোয়া ও শুভকামনা রইলো।,sports,positive
ইসলাম পৃথিবীর একমাত্র সুন্দর ও মননিত ধর্ম।,religion,positive
"শের খেলা হোক আর বিপিএল, তুমি না থাকলে আমার খেলা দেখা হয়না",sports,negative
"দেম্বেলের ফিউচার অনুজ্জ্বল, দেম্বেলে কে ছেড়ে, মার্টিনেজ, নেইমার এদের নিলে হবে।",sports,negative
ব্যাংক ডাকাত দেশ বিরুধী ভারতের দালাল খুনি হাসিনার পদত্যাগ চাই,politics,negative
হাচিনার জেল হবে কম করে ১০০ বছর।,politics,negative
